subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 258366	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 258367	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 304269	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 304270	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 304271	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 311735	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 311736	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 597833A	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 597833B	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 633192	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 633193	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 633194	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650140	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650141	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650142A	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650142B	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650143	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650144	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650145	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650146	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650147	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650148	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650149	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650150	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650151	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650152	Number of Chromosomes	26.0			Bayer Crop Science		green house in California Bay area		
PI 650153	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650154	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650155	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650156	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650157A	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650157B	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650158A	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650158B	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650159	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650163	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650164	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 650167	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
PI 650168	Number of Chromosomes	38.0			Bayer Crop Science		green house in California Bay area		
Suneson	Number of Chromosomes	40.0			Bayer Crop Science		green house in California Bay area		
PI 258366	Repeat Content (COT Value—DNA (pg/2C))	1.63			Bayer Crop Science		green house in California Bay area		
PI 258367	Repeat Content (COT Value—DNA (pg/2C))	1.66			Bayer Crop Science		green house in California Bay area		
PI 304269	Repeat Content (COT Value—DNA (pg/2C))	1.58			Bayer Crop Science		green house in California Bay area		
PI 304270	Repeat Content (COT Value—DNA (pg/2C))	1.55			Bayer Crop Science		green house in California Bay area		
PI 304271	Repeat Content (COT Value—DNA (pg/2C))	1.66			Bayer Crop Science		green house in California Bay area		
PI 311735	Repeat Content (COT Value—DNA (pg/2C))	1.64			Bayer Crop Science		green house in California Bay area		
PI 311736	Repeat Content (COT Value—DNA (pg/2C))	1.62			Bayer Crop Science		green house in California Bay area		
PI 597833A	Repeat Content (COT Value—DNA (pg/2C))	1.41			Bayer Crop Science		green house in California Bay area		
PI 597833B	Repeat Content (COT Value—DNA (pg/2C))	1.38			Bayer Crop Science		green house in California Bay area		
PI 633192	Repeat Content (COT Value—DNA (pg/2C))	1.6			Bayer Crop Science		green house in California Bay area		
PI 633193	Repeat Content (COT Value—DNA (pg/2C))	1.61			Bayer Crop Science		green house in California Bay area		
PI 633194	Repeat Content (COT Value—DNA (pg/2C))	1.61			Bayer Crop Science		green house in California Bay area		
PI 650140	Repeat Content (COT Value—DNA (pg/2C))	1.62			Bayer Crop Science		green house in California Bay area		
