subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT4	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT4	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT4	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT18	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT18	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT18	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT18	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT21	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT21	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT21	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT21	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT46	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT46	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT46	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT46	plant_anatomical_entity	NaN			INRAE		France		Stressed
UNT4	soil water content (% water)	11.12			INRAE		France		Stressed
UNT4	soil water content (% water)	12.23			INRAE		France		Stressed
UNT4	soil water content (% water)	10.11			INRAE		France		Stressed
UNT4	soil water content (% water)	9.96			INRAE		France		Stressed
UNT18	soil water content (% water)	11.23			INRAE		France		Stressed
UNT18	soil water content (% water)	11.22			INRAE		France		Stressed
UNT18	soil water content (% water)	10.69			INRAE		France		Stressed
UNT18	soil water content (% water)	9.45			INRAE		France		Stressed
UNT21	soil water content (% water)	10.61			INRAE		France		Stressed
UNT21	soil water content (% water)	9.77			INRAE		France		Stressed
UNT21	soil water content (% water)	10.92			INRAE		France		Stressed
UNT21	soil water content (% water)	10.39			INRAE		France		Stressed
UNT46	soil water content (% water)	9.81			INRAE		France		Stressed
UNT46	soil water content (% water)	10.97			INRAE		France		Stressed
UNT46	soil water content (% water)	10.14			INRAE		France		Stressed
UNT46	soil water content (% water)	9.18			INRAE		France		Stressed
