subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 258366	Maturity (days)	43.2			Bayer Crop Science		green house in California Bay area		
PI 258367	Maturity (days)	48.3			Bayer Crop Science		green house in California Bay area		
PI 304269	Maturity (days)	49.8			Bayer Crop Science		green house in California Bay area		
PI 304270	Maturity (days)	50.4			Bayer Crop Science		green house in California Bay area		
PI 304271	Maturity (days)	42.0			Bayer Crop Science		green house in California Bay area		
PI 311735	Maturity (days)	48.3			Bayer Crop Science		green house in California Bay area		
PI 311736	Maturity (days)	52.0			Bayer Crop Science		green house in California Bay area		
PI 597833A	Maturity (days)	50.3			Bayer Crop Science		green house in California Bay area		
PI 597833B	Maturity (days)	48.3			Bayer Crop Science		green house in California Bay area		
PI 633192	Maturity (days)	44.5			Bayer Crop Science		green house in California Bay area		
PI 633193	Maturity (days)	52.0			Bayer Crop Science		green house in California Bay area		
PI 633194	Maturity (days)	48.3			Bayer Crop Science		green house in California Bay area		
PI 650140	Maturity (days)	47.7			Bayer Crop Science		green house in California Bay area		
PI 650141	Maturity (days)	42.0			Bayer Crop Science		green house in California Bay area		
PI 650142A	Maturity (days)	44.3			Bayer Crop Science		green house in California Bay area		
PI 650142B	Maturity (days)	45.0			Bayer Crop Science		green house in California Bay area		
PI 650143	Maturity (days)	63.0			Bayer Crop Science		green house in California Bay area		
PI 650144	Maturity (days)	54.0			Bayer Crop Science		green house in California Bay area		
PI 650145	Maturity (days)	49.8			Bayer Crop Science		green house in California Bay area		
PI 650146	Maturity (days)	54.2			Bayer Crop Science		green house in California Bay area		
PI 650147	Maturity (days)	52.6			Bayer Crop Science		green house in California Bay area		
PI 650148	Maturity (days)	56.8			Bayer Crop Science		green house in California Bay area		
PI 650149	Maturity (days)	58.0			Bayer Crop Science		green house in California Bay area		
PI 650150	Maturity (days)	49.8			Bayer Crop Science		green house in California Bay area		
PI 650151	Maturity (days)	49.2			Bayer Crop Science		green house in California Bay area		
PI 650152	Maturity (days)	57.4			Bayer Crop Science		green house in California Bay area		
PI 650153	Maturity (days)	44.0			Bayer Crop Science		green house in California Bay area		
PI 650154	Maturity (days)	48.6			Bayer Crop Science		green house in California Bay area		
PI 650155	Maturity (days)	51.4			Bayer Crop Science		green house in California Bay area		
PI 650156	Maturity (days)	50.5			Bayer Crop Science		green house in California Bay area		
PI 650157A	Maturity (days)	52.0			Bayer Crop Science		green house in California Bay area		
PI 650157B	Maturity (days)	49.8			Bayer Crop Science		green house in California Bay area		
PI 650158A	Maturity (days)	52.0			Bayer Crop Science		green house in California Bay area		
PI 650158B	Maturity (days)	43.8			Bayer Crop Science		green house in California Bay area		
PI 650159	Maturity (days)	49.4			Bayer Crop Science		green house in California Bay area		
PI 650163	Maturity (days)	45.4			Bayer Crop Science		green house in California Bay area		
PI 650164	Maturity (days)	42.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Maturity (days)	42.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Maturity (days)	47.9			Bayer Crop Science		green house in California Bay area		
PI 650167	Maturity (days)	62.0			Bayer Crop Science		green house in California Bay area		
PI 650168	Maturity (days)	52.0			Bayer Crop Science		green house in California Bay area		
Suneson	Maturity (days)	50.9			Bayer Crop Science		green house in California Bay area		
PI 258366	Height (cm)	80.4			Bayer Crop Science		green house in California Bay area		
PI 258367	Height (cm)	79.1			Bayer Crop Science		green house in California Bay area		
PI 304269	Height (cm)	82.5			Bayer Crop Science		green house in California Bay area		
PI 304270	Height (cm)	83.4			Bayer Crop Science		green house in California Bay area		
PI 304271	Height (cm)	76.6			Bayer Crop Science		green house in California Bay area		
PI 311735	Height (cm)	74.3			Bayer Crop Science		green house in California Bay area		
PI 311736	Height (cm)	71.4			Bayer Crop Science		green house in California Bay area		
PI 597833A	Height (cm)	67.2			Bayer Crop Science		green house in California Bay area		
PI 597833B	Height (cm)	80.4			Bayer Crop Science		green house in California Bay area		
PI 633192	Height (cm)	72.5			Bayer Crop Science		green house in California Bay area		
PI 633193	Height (cm)	73.0			Bayer Crop Science		green house in California Bay area		
PI 633194	Height (cm)	71.8			Bayer Crop Science		green house in California Bay area		
PI 650140	Height (cm)	77.0			Bayer Crop Science		green house in California Bay area		
PI 650141	Height (cm)	74.6			Bayer Crop Science		green house in California Bay area		
PI 650142A	Height (cm)	64.9			Bayer Crop Science		green house in California Bay area		
PI 650142B	Height (cm)	80.6			Bayer Crop Science		green house in California Bay area		
PI 650143	Height (cm)	81.5			Bayer Crop Science		green house in California Bay area		
PI 650144	Height (cm)	78.1			Bayer Crop Science		green house in California Bay area		
PI 650145	Height (cm)	82.1			Bayer Crop Science		green house in California Bay area		
PI 650146	Height (cm)	82.6			Bayer Crop Science		green house in California Bay area		
PI 650147	Height (cm)	82.3			Bayer Crop Science		green house in California Bay area		
PI 650148	Height (cm)	78.8			Bayer Crop Science		green house in California Bay area		
PI 650149	Height (cm)	79.3			Bayer Crop Science		green house in California Bay area		
PI 650150	Height (cm)	78.6			Bayer Crop Science		green house in California Bay area		
PI 650151	Height (cm)	88.3			Bayer Crop Science		green house in California Bay area		
PI 650152	Height (cm)	81.6			Bayer Crop Science		green house in California Bay area		
PI 650153	Height (cm)	75.6			Bayer Crop Science		green house in California Bay area		
PI 650154	Height (cm)	84.6			Bayer Crop Science		green house in California Bay area		
PI 650155	Height (cm)	73.4			Bayer Crop Science		green house in California Bay area		
PI 650156	Height (cm)	76.5			Bayer Crop Science		green house in California Bay area		
PI 650157A	Height (cm)	67.2			Bayer Crop Science		green house in California Bay area		
PI 650157B	Height (cm)	75.5			Bayer Crop Science		green house in California Bay area		
PI 650158A	Height (cm)	66.2			Bayer Crop Science		green house in California Bay area		
PI 650158B	Height (cm)	82.6			Bayer Crop Science		green house in California Bay area		
PI 650159	Height (cm)	85.2			Bayer Crop Science		green house in California Bay area		
PI 650163	Height (cm)	78.6			Bayer Crop Science		green house in California Bay area		
PI 650164	Height (cm)	72.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Height (cm)	85.4			Bayer Crop Science		green house in California Bay area		
PI 650166	Height (cm)	72.4			Bayer Crop Science		green house in California Bay area		
PI 650167	Height (cm)	69.5			Bayer Crop Science		green house in California Bay area		
PI 650168	Height (cm)	69.7			Bayer Crop Science		green house in California Bay area		
Suneson	Height (cm)	81.5			Bayer Crop Science		green house in California Bay area		
PI 258366	Width (cm)	39.8			Bayer Crop Science		green house in California Bay area		
PI 258367	Width (cm)	41.8			Bayer Crop Science		green house in California Bay area		
PI 304269	Width (cm)	32.8			Bayer Crop Science		green house in California Bay area		
PI 304270	Width (cm)	38.6			Bayer Crop Science		green house in California Bay area		
PI 304271	Width (cm)	38.4			Bayer Crop Science		green house in California Bay area		
PI 311735	Width (cm)	33.1			Bayer Crop Science		green house in California Bay area		
PI 311736	Width (cm)	49.8			Bayer Crop Science		green house in California Bay area		
PI 597833A	Width (cm)	44.2			Bayer Crop Science		green house in California Bay area		
PI 597833B	Width (cm)	39.0			Bayer Crop Science		green house in California Bay area		
PI 633192	Width (cm)	31.8			Bayer Crop Science		green house in California Bay area		
PI 633193	Width (cm)	57.4			Bayer Crop Science		green house in California Bay area		
PI 633194	Width (cm)	35.9			Bayer Crop Science		green house in California Bay area		
PI 650140	Width (cm)	48.6			Bayer Crop Science		green house in California Bay area		
PI 650141	Width (cm)	36.2			Bayer Crop Science		green house in California Bay area		
PI 650142A	Width (cm)	25.0			Bayer Crop Science		green house in California Bay area		
PI 650142B	Width (cm)	39.9			Bayer Crop Science		green house in California Bay area		
PI 650143	Width (cm)	51.5			Bayer Crop Science		green house in California Bay area		
PI 650144	Width (cm)	40.1			Bayer Crop Science		green house in California Bay area		
PI 650145	Width (cm)	37.4			Bayer Crop Science		green house in California Bay area		
PI 650146	Width (cm)	45.8			Bayer Crop Science		green house in California Bay area		
PI 650147	Width (cm)	37.8			Bayer Crop Science		green house in California Bay area		
PI 650148	Width (cm)	34.8			Bayer Crop Science		green house in California Bay area		
PI 650149	Width (cm)	32.2			Bayer Crop Science		green house in California Bay area		
PI 650150	Width (cm)	33.6			Bayer Crop Science		green house in California Bay area		
PI 650151	Width (cm)	32.8			Bayer Crop Science		green house in California Bay area		
PI 650152	Width (cm)	38.2			Bayer Crop Science		green house in California Bay area		
PI 650153	Width (cm)	11.4			Bayer Crop Science		green house in California Bay area		
PI 650154	Width (cm)	29.4			Bayer Crop Science		green house in California Bay area		
PI 650155	Width (cm)	47.6			Bayer Crop Science		green house in California Bay area		
PI 650156	Width (cm)	32.5			Bayer Crop Science		green house in California Bay area		
PI 650157A	Width (cm)	59.2			Bayer Crop Science		green house in California Bay area		
PI 650157B	Width (cm)	30.7			Bayer Crop Science		green house in California Bay area		
PI 650158A	Width (cm)	33.4			Bayer Crop Science		green house in California Bay area		
PI 650158B	Width (cm)	27.4			Bayer Crop Science		green house in California Bay area		
