subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
Camelina	PUFA/SFA	7.11			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	PUFA/SFA	8.4			Department of Animal Breeding and Reproduction		Lithuania		
Flax	PUFA/SFA	7.5			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	PUFA/SFA	6.75			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	PUFA/SFA	7.3			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	ratio of n-6 PUFA to n-3 PUFA	0.48			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	ratio of n-6 PUFA to n-3 PUFA	3.79			Department of Animal Breeding and Reproduction		Lithuania		
Flax	ratio of n-6 PUFA to n-3 PUFA	0.28			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	ratio of n-6 PUFA to n-3 PUFA	0.49			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	ratio of n-6 PUFA to n-3 PUFA	0.48			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	atherogenic index	0.06			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	atherogenic index	0.07			Department of Animal Breeding and Reproduction		Lithuania		
Flax	atherogenic index	0.06			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	atherogenic index	0.06			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	atherogenic index	0.055			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	thrombogenic index	0.05			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	thrombogenic index	0.1			Department of Animal Breeding and Reproduction		Lithuania		
Flax	thrombogenic index	0.05			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	thrombogenic index	0.05			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	thrombogenic index	0.046			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	hypocholesterolemic/hypercholesterolemic ratio	14.97			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	hypocholesterolemic/hypercholesterolemic ratio	14.97			Department of Animal Breeding and Reproduction		Lithuania		
Flax	hypocholesterolemic/hypercholesterolemic ratio	17.05			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	hypocholesterolemic/hypercholesterolemic ratio	14.45			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	hypocholesterolemic/hypercholesterolemic ratio	15.24			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	peroxidizability index	101.26			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	peroxidizability index	99.05			Department of Animal Breeding and Reproduction		Lithuania		
Flax	peroxidizability index	129.09			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	peroxidizability index	99.64			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	peroxidizability index	102.07			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	C14:0	0.05			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	C14:0	0.03			Department of Animal Breeding and Reproduction		Lithuania		
Flax	C14:0	0.04			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	C14:0	0.05			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	C14:0	0.48			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	C16:0	4.94			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	C16:0	5.93			Department of Animal Breeding and Reproduction		Lithuania		
Flax	C16:0	5.26			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	C16:0	5.1			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	C16:0	4.86			Department of Animal Breeding and Reproduction		Lithuania		
Camelina	C17:0	0.03			Department of Animal Breeding and Reproduction		Lithuania		
Hemp	C17:0	0.04			Department of Animal Breeding and Reproduction		Lithuania		
Flax	C17:0	0.04			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Summer	C17:0	0.03			Department of Animal Breeding and Reproduction		Lithuania		
Camelina-Winter	C17:0	0.03			Department of Animal Breeding and Reproduction		Lithuania		
