subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT18	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT21	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT21	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT21	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT21	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT46	plant_anatomical_entity	Seed	Seed		UNIBO		Bologne		Control
UNT4	nad_gapdh (nmol.g-1.min-1)	13790.5	Seed		UNIBO		Bologne		Control
UNT4	nad_gapdh (nmol.g-1.min-1)	16904.0	Seed		UNIBO		Bologne		Control
UNT4	nad_gapdh (nmol.g-1.min-1)	18763.1	Seed		UNIBO		Bologne		Control
UNT4	nad_gapdh (nmol.g-1.min-1)	16371.8	Seed		UNIBO		Bologne		Control
