subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT1	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT10	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT11	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT12	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT13	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT14	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT15	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT16	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT17	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT19	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT2	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT20	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT22	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT23	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT24	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT25	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT26	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT27	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT28	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT29	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT3	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT30	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT31	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT32	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT33	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT34	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT35	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT37	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT38	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT39	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT40	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT42	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT43	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT44	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT45	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT47	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT5	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT50	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT52	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT53	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT54	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT55	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT56	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT57	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT58	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT59	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT6	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT7	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT8	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT9	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT1	tkw (g)	1.0575			UNIBO		Italy		
UNT10	tkw (g)	1.1377			UNIBO		Italy		
UNT11	tkw (g)	1.2008			UNIBO		Italy		
UNT12	tkw (g)	1.3348			UNIBO		Italy		
UNT13	tkw (g)	1.2528			UNIBO		Italy		
UNT14	tkw (g)	1.2253			UNIBO		Italy		
UNT15	tkw (g)	1.1075			UNIBO		Italy		
UNT16	tkw (g)	1.325			UNIBO		Italy		
UNT17	tkw (g)	1.3466			UNIBO		Italy		
UNT18	tkw (g)	1.2292			UNIBO		Italy		
UNT19	tkw (g)	1.3078			UNIBO		Italy		
UNT2	tkw (g)	1.1888			UNIBO		Italy		
UNT20	tkw (g)	0.9509			UNIBO		Italy		
UNT21	tkw (g)	0.9715			UNIBO		Italy		
UNT22	tkw (g)	0.9545			UNIBO		Italy		
UNT23	tkw (g)	0.9562			UNIBO		Italy		
