subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT1	plant_anatomical_entity	NaN							
UNT10	plant_anatomical_entity	NaN							
UNT11	plant_anatomical_entity	NaN							
UNT12	plant_anatomical_entity	NaN							
UNT13	plant_anatomical_entity	NaN							
UNT14	plant_anatomical_entity	NaN							
UNT15	plant_anatomical_entity	NaN							
UNT16	plant_anatomical_entity	NaN							
UNT17	plant_anatomical_entity	NaN							
UNT18	plant_anatomical_entity	NaN							
UNT19	plant_anatomical_entity	NaN							
UNT2	plant_anatomical_entity	NaN							
UNT20	plant_anatomical_entity	NaN							
UNT21	plant_anatomical_entity	NaN							
UNT22	plant_anatomical_entity	NaN							
UNT23	plant_anatomical_entity	NaN							
UNT24	plant_anatomical_entity	NaN							
UNT25	plant_anatomical_entity	NaN							
UNT26	plant_anatomical_entity	NaN							
UNT27	plant_anatomical_entity	NaN							
UNT28	plant_anatomical_entity	NaN							
UNT29	plant_anatomical_entity	NaN							
UNT3	plant_anatomical_entity	NaN							
UNT30	plant_anatomical_entity	NaN							
UNT31	plant_anatomical_entity	NaN							
UNT32	plant_anatomical_entity	NaN							
UNT33	plant_anatomical_entity	NaN							
UNT34	plant_anatomical_entity	NaN							
UNT35	plant_anatomical_entity	NaN							
UNT37	plant_anatomical_entity	NaN							
UNT38	plant_anatomical_entity	NaN							
UNT39	plant_anatomical_entity	NaN							
UNT4	plant_anatomical_entity	NaN							
UNT40	plant_anatomical_entity	NaN							
UNT42	plant_anatomical_entity	NaN							
UNT43	plant_anatomical_entity	NaN							
UNT44	plant_anatomical_entity	NaN							
UNT45	plant_anatomical_entity	NaN							
UNT46	plant_anatomical_entity	NaN							
UNT47	plant_anatomical_entity	NaN							
UNT5	plant_anatomical_entity	NaN							
UNT50	plant_anatomical_entity	NaN							
UNT52	plant_anatomical_entity	NaN							
UNT53	plant_anatomical_entity	NaN							
UNT54	plant_anatomical_entity	NaN							
UNT55	plant_anatomical_entity	NaN							
UNT56	plant_anatomical_entity	NaN							
UNT57	plant_anatomical_entity	NaN							
UNT58	plant_anatomical_entity	NaN							
UNT59	plant_anatomical_entity	NaN							
UNT6	plant_anatomical_entity	NaN							
UNT7	plant_anatomical_entity	NaN							
UNT8	plant_anatomical_entity	NaN							
UNT9	plant_anatomical_entity	NaN							
UNT1	average - straw_fw(g)_rres	11.05							
UNT10	average - straw_fw(g)_rres	13.22							
UNT11	average - straw_fw(g)_rres	12.19							
UNT12	average - straw_fw(g)_rres	13.95							
UNT13	average - straw_fw(g)_rres	10.23							
UNT14	average - straw_fw(g)_rres	11.5							
UNT15	average - straw_fw(g)_rres	11.81							
UNT16	average - straw_fw(g)_rres	12.81							
UNT17	average - straw_fw(g)_rres	13.01							
UNT18	average - straw_fw(g)_rres	11.14							
UNT19	average - straw_fw(g)_rres	10.45							
UNT2	average - straw_fw(g)_rres	12.98							
UNT20	average - straw_fw(g)_rres	9.03							
UNT21	average - straw_fw(g)_rres	10.22							
UNT22	average - straw_fw(g)_rres	10.39							
UNT23	average - straw_fw(g)_rres	9.69							
UNT24	average - straw_fw(g)_rres	14.0							
UNT25	average - straw_fw(g)_rres	12.1							
UNT26	average - straw_fw(g)_rres	12.25							
UNT27	average - straw_fw(g)_rres	10.42							
UNT28	average - straw_fw(g)_rres	10.22							
UNT29	average - straw_fw(g)_rres	11.02							
UNT3	average - straw_fw(g)_rres	10.08							
UNT30	average - straw_fw(g)_rres	11.98							
UNT31	average - straw_fw(g)_rres	11.74							
UNT32	average - straw_fw(g)_rres	10.68							
UNT33	average - straw_fw(g)_rres	11.03							
UNT34	average - straw_fw(g)_rres	11.46							
UNT35	average - straw_fw(g)_rres	11.61							
UNT37	average - straw_fw(g)_rres	13.56							
UNT38	average - straw_fw(g)_rres	11.74							
UNT39	average - straw_fw(g)_rres	10.87							
UNT4	average - straw_fw(g)_rres	10.2							
UNT40	average - straw_fw(g)_rres	10.38							
UNT42	average - straw_fw(g)_rres	10.18							
UNT43	average - straw_fw(g)_rres	8.65							
UNT44	average - straw_fw(g)_rres	10.92							
UNT45	average - straw_fw(g)_rres	11.06							
UNT46	average - straw_fw(g)_rres	14.12							
UNT47	average - straw_fw(g)_rres	15.22							
UNT5	average - straw_fw(g)_rres	11.73							
UNT50	average - straw_fw(g)_rres	10.16							
UNT52	average - straw_fw(g)_rres	10.13							
UNT53	average - straw_fw(g)_rres	11.93							
UNT54	average - straw_fw(g)_rres	11.88							
UNT55	average - straw_fw(g)_rres	13.76							
UNT56	average - straw_fw(g)_rres	12.5							
UNT57	average - straw_fw(g)_rres	13.08							
UNT58	average - straw_fw(g)_rres	11.65							
UNT59	average - straw_fw(g)_rres	10.76							
UNT6	average - straw_fw(g)_rres	11.44							
UNT7	average - straw_fw(g)_rres	11.82							
UNT8	average - straw_fw(g)_rres	13.97							
UNT9	average - straw_fw(g)_rres	11.51							
UNT1	average - straw_dw(g)_rres	8.7							
UNT10	average - straw_dw(g)_rres	9.54583333333333							
UNT11	average - straw_dw(g)_rres	9.004							
UNT12	average - straw_dw(g)_rres	10.7083333333333							
UNT13	average - straw_dw(g)_rres	7.87083333333333							
UNT14	average - straw_dw(g)_rres	9.58933333333334							
