subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT8	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT25	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT12	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT15	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT19	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT44	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT42	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT33	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT1	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT5	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT35	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT9	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT20	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT28	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT47	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT7	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT43	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT32	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT38	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT2	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT52	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT58	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT22	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT31	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT29	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT50	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT53	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT27	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT45	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT37	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT30	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT26	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT3	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT39	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT17	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT11	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT34	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT57	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT24	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT23	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT59	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT10	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT54	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT13	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT14	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT55	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT16	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT6	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT40	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT56	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT38	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT3	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT32	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT29	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT8	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT54	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT7	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT35	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT34	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT59	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT22	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT25	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT5	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT11	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT50	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT12	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT58	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT14	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT53	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT2	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT39	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT31	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT12	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT15	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT10	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
