subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT18	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT19	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT44	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT46	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT42	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT33	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT1	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT5	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT35	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT9	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT20	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT28	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT47	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT7	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT32	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT38	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT4	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT2	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT58	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT22	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT50	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT53	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT21	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT27	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT45	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT37	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT30	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT3	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT39	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT17	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT11	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT34	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT57	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT24	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT23	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT59	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT10	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT54	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT13	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT14	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT55	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT16	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT40	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
UNT56	plant_anatomical_entity	Leaf	Leaf		AIT		Austria		Control
