subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Control
UNT18	biomassfreshweight(g)	77.6245714285714			RRES		United Kingdom		Control
UNT21	biomassfreshweight(g)	66.8921951219512			RRES		United Kingdom		Control
UNT4	biomassfreshweight(g)	54.9539393939394			RRES		United Kingdom		Control
UNT46	biomassfreshweight(g)	68.11825			RRES		United Kingdom		Control
UNT18	biomassdryweight(g)	16.6882857142857			RRES		United Kingdom		Control
UNT21	biomassdryweight(g)	13.720243902439			RRES		United Kingdom		Control
UNT4	biomassdryweight(g)	12.7839393939394			RRES		United Kingdom		Control
UNT46	biomassdryweight(g)	14.6815			RRES		United Kingdom		Control
UNT18	biomassplantwatercontent(g)	80.2571428571429			RRES		United Kingdom		Control
UNT21	biomassplantwatercontent(g)	83.1292682926829			RRES		United Kingdom		Control
UNT4	biomassplantwatercontent(g)	80.169696969697			RRES		United Kingdom		Control
UNT46	biomassplantwatercontent(g)	81.695			RRES		United Kingdom		Control
UNT18	biomassdryweight/freshweight	0.255977142857143			RRES		United Kingdom		Control
UNT21	biomassdryweight/freshweight	0.221251219512195			RRES		United Kingdom		Control
UNT4	biomassdryweight/freshweight	0.325942424242424			RRES		United Kingdom		Control
UNT46	biomassdryweight/freshweight	0.243805			RRES		United Kingdom		Control
UNT18	stemheight(cm)	92.2404761904762			RRES		United Kingdom		Control
UNT21	stemheight(cm)	89.7225			RRES		United Kingdom		Control
UNT4	stemheight(cm)	85.38			RRES		United Kingdom		Control
UNT46	stemheight(cm)	94.5906976744186			RRES		United Kingdom		Control
UNT18	stemwidth(mm)	6.30857142857143			RRES		United Kingdom		Control
UNT21	stemwidth(mm)	6.262			RRES		United Kingdom		Control
UNT4	stemwidth(mm)	5.676			RRES		United Kingdom		Control
UNT46	stemwidth(mm)	5.6553488372093			RRES		United Kingdom		Control
UNT18	spad	34.2954545454545			RRES		United Kingdom		Control
UNT21	spad	33.8733333333333			RRES		United Kingdom		Control
UNT4	spad	36.2933333333333			RRES		United Kingdom		Control
UNT46	spad	40.12			RRES		United Kingdom		Control
UNT18	photosynthesis	20.69			RRES		United Kingdom		Control
UNT21	photosynthesis	22.2473684210526			RRES		United Kingdom		Control
UNT4	photosynthesis	19.795			RRES		United Kingdom		Control
UNT46	photosynthesis	21.51			RRES		United Kingdom		Control
UNT18	stomatal conductance	0.405025			RRES		United Kingdom		Control
UNT21	stomatal conductance	0.464736842105263			RRES		United Kingdom		Control
UNT4	stomatal conductance	0.36235			RRES		United Kingdom		Control
UNT46	stomatal conductance	0.4167			RRES		United Kingdom		Control
UNT18	ci	273.05			RRES		United Kingdom		Control
UNT21	ci	282.736842105263			RRES		United Kingdom		Control
UNT4	ci	270.15			RRES		United Kingdom		Control
UNT46	ci	277.15			RRES		United Kingdom		Control
UNT18	trmmol	4.1525			RRES		United Kingdom		Control
UNT21	trmmol	4.78894736842105			RRES		United Kingdom		Control
UNT4	trmmol	3.718			RRES		United Kingdom		Control
UNT46	trmmol	4.338			RRES		United Kingdom		Control
UNT18	rh_s	61.82			RRES		United Kingdom		Control
UNT21	rh_s	61.5715789473684			RRES		United Kingdom		Control
UNT4	rh_s	61.242			RRES		United Kingdom		Control
UNT46	rh_s	61.7515			RRES		United Kingdom		Control
UNT18	wue (%)	0.000551683017533			RRES		United Kingdom		Control
UNT21	wue (%)	0.000491308011769			RRES		United Kingdom		Control
UNT4	wue (%)	0.000575059889202			RRES		United Kingdom		Control
UNT46	wue (%)	0.000530428537189			RRES		United Kingdom		Control
UNT18	fs	918.435			RRES		United Kingdom		Control
UNT21	fs	971.594736842105			RRES		United Kingdom		Control
UNT4	fs	912.225			RRES		United Kingdom		Control
UNT46	fs	962.78			RRES		United Kingdom		Control
UNT18	phips2	0.2848			RRES		United Kingdom		Control
UNT21	phips2	0.292842105263158			RRES		United Kingdom		Control
UNT4	phips2	0.2695			RRES		United Kingdom		Control
UNT46	phips2	0.28165			RRES		United Kingdom		Control
UNT18	qp	0.5193			RRES		United Kingdom		Control
UNT21	qp	0.529368421052632			RRES		United Kingdom		Control
UNT4	qp	0.4942			RRES		United Kingdom		Control
