subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	NaN							Drought
UNT18	plant_anatomical_entity	NaN							Drought
UNT21	plant_anatomical_entity	NaN							Drought
UNT46	plant_anatomical_entity	NaN							Drought
UNT4	lipid c16:0 (ug/mg)	6.4542347633694							Drought
UNT18	lipid c16:0 (ug/mg)	6.71034510262006							Drought
UNT21	lipid c16:0 (ug/mg)	6.56916607031563							Drought
UNT46	lipid c16:0 (ug/mg)	6.17240418943231							Drought
UNT4	lipid c18:0 (ug/mg)	2.38948419678609							Drought
UNT18	lipid c18:0 (ug/mg)	2.57869155703294							Drought
UNT21	lipid c18:0 (ug/mg)	2.21289099231202							Drought
UNT46	lipid c18:0 (ug/mg)	2.25252695481467							Drought
UNT4	lipid c18:1d9 (ug/mg)	14.2082820584534							Drought
UNT18	lipid c18:1d9 (ug/mg)	13.0138985150645							Drought
UNT21	lipid c18:1d9 (ug/mg)	14.7711072640462							Drought
UNT46	lipid c18:1d9 (ug/mg)	15.2455346627803							Drought
UNT4	lipid c18:1d11 (ug/mg)	1.05863510599592							Drought
UNT18	lipid c18:1d11 (ug/mg)	1.01986469521536							Drought
UNT21	lipid c18:1d11 (ug/mg)	1.15234529515192							Drought
UNT46	lipid c18:1d11 (ug/mg)	0.975848387363968							Drought
UNT4	lipid c18:2 (ug/mg)	21.9167589331135							Drought
UNT18	lipid c18:2 (ug/mg)	23.1565239375564							Drought
UNT21	lipid c18:2 (ug/mg)	19.3335074099129							Drought
UNT46	lipid c18:2 (ug/mg)	19.9526159223662							Drought
UNT4	lipid c18:3 (ug/mg)	29.7868491200278							Drought
UNT18	lipid c18:3 (ug/mg)	28.7757090638438							Drought
UNT21	lipid c18:3 (ug/mg)	32.9582427366394							Drought
UNT46	lipid c18:3 (ug/mg)	32.0965279297321							Drought
UNT4	lipid c20:0 (ug/mg)	1.83946657362489							Drought
UNT18	lipid c20:0 (ug/mg)	2.03440549404975							Drought
UNT21	lipid c20:0 (ug/mg)	1.452316880255							Drought
UNT46	lipid c20:0 (ug/mg)	1.53207289875058							Drought
UNT4	lipid c20:1d11 (ug/mg)	13.1338289690449							Drought
UNT18	lipid c20:1d11 (ug/mg)	13.260862068567							Drought
UNT21	lipid c20:1d11 (ug/mg)	13.213891113325							Drought
UNT46	lipid c20:1d11 (ug/mg)	13.1859404948035							Drought
UNT4	lipid c20:1d13 (ug/mg)	0.808757311643216							Drought
UNT18	lipid c20:1d13 (ug/mg)	0.803929389436581							Drought
UNT21	lipid c20:1d13 (ug/mg)	0.626353199666021							Drought
UNT46	lipid c20:1d13 (ug/mg)	0.6061970895115							Drought
UNT4	lipid c20:2 (ug/mg)	1.96533377797569							Drought
