subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT1	plant_anatomical_entity	NaN			CCE		Spain		
UNT2	plant_anatomical_entity	NaN			CCE		Spain		
UNT3	plant_anatomical_entity	NaN			CCE		Spain		
UNT4	plant_anatomical_entity	NaN			CCE		Spain		
UNT5	plant_anatomical_entity	NaN			CCE		Spain		
UNT7	plant_anatomical_entity	NaN			CCE		Spain		
UNT8	plant_anatomical_entity	NaN			CCE		Spain		
UNT9	plant_anatomical_entity	NaN			CCE		Spain		
UNT10	plant_anatomical_entity	NaN			CCE		Spain		
UNT11	plant_anatomical_entity	NaN			CCE		Spain		
UNT12	plant_anatomical_entity	NaN			CCE		Spain		
UNT13	plant_anatomical_entity	NaN			CCE		Spain		
UNT15	plant_anatomical_entity	NaN			CCE		Spain		
UNT17	plant_anatomical_entity	NaN			CCE		Spain		
UNT18	plant_anatomical_entity	NaN			CCE		Spain		
UNT20	plant_anatomical_entity	NaN			CCE		Spain		
UNT21	plant_anatomical_entity	NaN			CCE		Spain		
UNT22	plant_anatomical_entity	NaN			CCE		Spain		
UNT23	plant_anatomical_entity	NaN			CCE		Spain		
UNT26	plant_anatomical_entity	NaN			CCE		Spain		
UNT28	plant_anatomical_entity	NaN			CCE		Spain		
UNT30	plant_anatomical_entity	NaN			CCE		Spain		
UNT31	plant_anatomical_entity	NaN			CCE		Spain		
UNT32	plant_anatomical_entity	NaN			CCE		Spain		
UNT33	plant_anatomical_entity	NaN			CCE		Spain		
UNT35	plant_anatomical_entity	NaN			CCE		Spain		
UNT37	plant_anatomical_entity	NaN			CCE		Spain		
UNT38	plant_anatomical_entity	NaN			CCE		Spain		
UNT40	plant_anatomical_entity	NaN			CCE		Spain		
UNT42	plant_anatomical_entity	NaN			CCE		Spain		
UNT44	plant_anatomical_entity	NaN			CCE		Spain		
UNT46	plant_anatomical_entity	NaN			CCE		Spain		
UNT47	plant_anatomical_entity	NaN			CCE		Spain		
UNT50	plant_anatomical_entity	NaN			CCE		Spain		
UNT52	plant_anatomical_entity	NaN			CCE		Spain		
UNT53	plant_anatomical_entity	NaN			CCE		Spain		
UNT55	plant_anatomical_entity	NaN			CCE		Spain		
UNT56	plant_anatomical_entity	NaN			CCE		Spain		
UNT57	plant_anatomical_entity	NaN			CCE		Spain		
UNT58	plant_anatomical_entity	NaN			CCE		Spain		
UNT59	plant_anatomical_entity	NaN			CCE		Spain		
UNT1	mean  result oil	23.07			CCE		Spain		
UNT2	mean  result oil	30.91			CCE		Spain		
UNT3	mean  result oil	30.11			CCE		Spain		
UNT4	mean  result oil	33.46			CCE		Spain		
UNT5	mean  result oil	26.52			CCE		Spain		
UNT7	mean  result oil	27.75			CCE		Spain		
UNT8	mean  result oil	31.23			CCE		Spain		
UNT9	mean  result oil	21.61			CCE		Spain		
UNT10	mean  result oil	23.86			CCE		Spain		
UNT11	mean  result oil	29.23			CCE		Spain		
UNT12	mean  result oil	30.73			CCE		Spain		
UNT13	mean  result oil	30.9			CCE		Spain		
UNT15	mean  result oil	27.86			CCE		Spain		
UNT17	mean  result oil	27.34			CCE		Spain		
UNT18	mean  result oil	29.07			CCE		Spain		
UNT20	mean  result oil	27.75			CCE		Spain		
UNT21	mean  result oil	26.13			CCE		Spain		
UNT22	mean  result oil	27.33			CCE		Spain		
UNT23	mean  result oil	30.18			CCE		Spain		
UNT26	mean  result oil	28.31			CCE		Spain		
UNT28	mean  result oil	34.11			CCE		Spain		
UNT30	mean  result oil	26.03			CCE		Spain		
UNT31	mean  result oil	21.98			CCE		Spain		
UNT32	mean  result oil	9.97			CCE		Spain		
UNT33	mean  result oil	24.81			CCE		Spain		
UNT35	mean  result oil	22.56			CCE		Spain		
UNT37	mean  result oil	28.65			CCE		Spain		
UNT38	mean  result oil	24.78			CCE		Spain		
UNT40	mean  result oil	30.84			CCE		Spain		
UNT42	mean  result oil	28.73			CCE		Spain		
UNT44	mean  result oil	26.63			CCE		Spain		
UNT46	mean  result oil	31.34			CCE		Spain		
UNT47	mean  result oil	27.93			CCE		Spain		
UNT50	mean  result oil	32.73			CCE		Spain		
UNT52	mean  result oil	31.14			CCE		Spain		
UNT53	mean  result oil	30.39			CCE		Spain		
UNT55	mean  result oil	31.09			CCE		Spain		
UNT56	mean  result oil	32.18			CCE		Spain		
UNT57	mean  result oil	37.74			CCE		Spain		
UNT58	mean  result oil	30.26			CCE		Spain		
UNT59	mean  result oil	32.49			CCE		Spain		
UNT1	mean  result moisture	4.6			CCE		Spain		
UNT2	mean  result moisture	5.88			CCE		Spain		
UNT3	mean  result moisture	5.39			CCE		Spain		
UNT4	mean  result moisture	4.82			CCE		Spain		
UNT5	mean  result moisture	4.44			CCE		Spain		
UNT7	mean  result moisture	4.56			CCE		Spain		
UNT8	mean  result moisture	4.76			CCE		Spain		
UNT9	mean  result moisture	4.23			CCE		Spain		
UNT10	mean  result moisture	4.19			CCE		Spain		
UNT11	mean  result moisture	4.66			CCE		Spain		
UNT12	mean  result moisture	5.23			CCE		Spain		
UNT13	mean  result moisture	5.05			CCE		Spain		
UNT15	mean  result moisture	4.9			CCE		Spain		
UNT17	mean  result moisture	5.68			CCE		Spain		
UNT18	mean  result moisture	5.14			CCE		Spain		
UNT20	mean  result moisture	4.55			CCE		Spain		
UNT21	mean  result moisture	4.37			CCE		Spain		
UNT22	mean  result moisture	4.73			CCE		Spain		
UNT23	mean  result moisture	4.79			CCE		Spain		
UNT26	mean  result moisture	4.95			CCE		Spain		
UNT28	mean  result moisture	5.0			CCE		Spain		
UNT30	mean  result moisture	4.96			CCE		Spain		
UNT31	mean  result moisture	4.2			CCE		Spain		
UNT32	mean  result moisture	2.77			CCE		Spain		
UNT33	mean  result moisture	4.15			CCE		Spain		
UNT35	mean  result moisture	4.38			CCE		Spain		
UNT37	mean  result moisture	4.77			CCE		Spain		
UNT38	mean  result moisture	4.3			CCE		Spain		
UNT40	mean  result moisture	4.94			CCE		Spain		
UNT42	mean  result moisture	4.44			CCE		Spain		
UNT44	mean  result moisture	4.57			CCE		Spain		
UNT46	mean  result moisture	4.85			CCE		Spain		
UNT47	mean  result moisture	4.72			CCE		Spain		
UNT50	mean  result moisture	4.95			CCE		Spain		
UNT52	mean  result moisture	4.86			CCE		Spain		
UNT53	mean  result moisture	4.85			CCE		Spain		
UNT55	mean  result moisture	4.85			CCE		Spain		
UNT56	mean  result moisture	4.87			CCE		Spain		
UNT57	mean  result moisture	5.09			CCE		Spain		
UNT58	mean  result moisture	4.68			CCE		Spain		
UNT59	mean  result moisture	4.93			CCE		Spain		
UNT1	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT2	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT3	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT5	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT6	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT7	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT8	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT9	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT10	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT11	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT12	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT13	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT14	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT15	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT16	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT17	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT19	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT20	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT22	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT23	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT24	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT25	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT26	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT27	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT28	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT29	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT30	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT31	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT32	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT33	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT34	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT35	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT37	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT38	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT39	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT40	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT42	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT43	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT44	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT45	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT47	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT50	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT52	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT53	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT54	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT55	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT56	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT57	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT58	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT59	plant_anatomical_entity	NaN			UNIBO		Italy		
UNT1	mean  result oil	0.986245			UNIBO		Italy		
UNT2	mean  result oil	0.999815			UNIBO		Italy		
UNT3	mean  result oil	0.78995			UNIBO		Italy		
UNT4	mean  result oil	0.993355			UNIBO		Italy		
UNT5	mean  result oil	0.99147			UNIBO		Italy		
UNT6	mean  result oil	1.00474			UNIBO		Italy		
UNT7	mean  result oil	0.99205			UNIBO		Italy		
UNT8	mean  result oil	1.00237			UNIBO		Italy		
UNT9	mean  result oil	1.002625			UNIBO		Italy		
UNT10	mean  result oil	1.012065			UNIBO		Italy		
UNT11	mean  result oil	1.009345			UNIBO		Italy		
UNT12	mean  result oil	0.999395			UNIBO		Italy		
UNT13	mean  result oil	0.978425			UNIBO		Italy		
UNT14	mean  result oil	0.995765			UNIBO		Italy		
UNT15	mean  result oil	1.006945			UNIBO		Italy		
UNT16	mean  result oil	0.99675			UNIBO		Italy		
UNT17	mean  result oil	1.01246666666667			UNIBO		Italy		
UNT18	mean  result oil	1.006405			UNIBO		Italy		
UNT19	mean  result oil	0.99419			UNIBO		Italy		
UNT20	mean  result oil	1.015035			UNIBO		Italy		
UNT21	mean  result oil	1.020115			UNIBO		Italy		
UNT22	mean  result oil	0.99253			UNIBO		Italy		
UNT23	mean  result oil	1.01124			UNIBO		Italy		
UNT24	mean  result oil	0.983365			UNIBO		Italy		
UNT25	mean  result oil	1.01494			UNIBO		Italy		
UNT26	mean  result oil	1.00913			UNIBO		Italy		
UNT27	mean  result oil	0.99756			UNIBO		Italy		
UNT28	mean  result oil	0.98864			UNIBO		Italy		
UNT29	mean  result oil	1.001335			UNIBO		Italy		
UNT30	mean  result oil	0.9948			UNIBO		Italy		
UNT31	mean  result oil	1.00499			UNIBO		Italy		
UNT32	mean  result oil	1.016425			UNIBO		Italy		
UNT33	mean  result oil	1.006995			UNIBO		Italy		
UNT34	mean  result oil	0.969575			UNIBO		Italy		
UNT35	mean  result oil	1.000885			UNIBO		Italy		
UNT37	mean  result oil	1.020385			UNIBO		Italy		
UNT38	mean  result oil	0.999105			UNIBO		Italy		
UNT39	mean  result oil	1.00489			UNIBO		Italy		
UNT40	mean  result oil	0.991485			UNIBO		Italy		
UNT42	mean  result oil	1.01036			UNIBO		Italy		
UNT43	mean  result oil	0.996605			UNIBO		Italy		
UNT44	mean  result oil	1.004035			UNIBO		Italy		
UNT45	mean  result oil	1.003835			UNIBO		Italy		
UNT46	mean  result oil	0.98433			UNIBO		Italy		
UNT47	mean  result oil	1.000795			UNIBO		Italy		
UNT50	mean  result oil	0.992335			UNIBO		Italy		
UNT52	mean  result oil	0.994945			UNIBO		Italy		
UNT53	mean  result oil	0.98837			UNIBO		Italy		
UNT54	mean  result oil	0.992715			UNIBO		Italy		
UNT55	mean  result oil	0.996395			UNIBO		Italy		
UNT56	mean  result oil	0.99397			UNIBO		Italy		
UNT57	mean  result oil	1.001705			UNIBO		Italy		
UNT58	mean  result oil	0.99349			UNIBO		Italy		
UNT59	mean  result oil	0.99307			UNIBO		Italy		
UNT1	mean  result moisture	5.079			UNIBO		Italy		
UNT2	mean  result moisture	5.091			UNIBO		Italy		
UNT3	mean  result moisture	5.095			UNIBO		Italy		
UNT4	mean  result moisture	5.089			UNIBO		Italy		
UNT5	mean  result moisture	5.1635			UNIBO		Italy		
