subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT1	plant_anatomical_entity	NaN			INRAE		France		
UNT2	plant_anatomical_entity	NaN			INRAE		France		
UNT3	plant_anatomical_entity	NaN			INRAE		France		
UNT4	plant_anatomical_entity	NaN			INRAE		France		
UNT5	plant_anatomical_entity	NaN			INRAE		France		
UNT6	plant_anatomical_entity	NaN			INRAE		France		
UNT7	plant_anatomical_entity	NaN			INRAE		France		
UNT8	plant_anatomical_entity	NaN			INRAE		France		
UNT9	plant_anatomical_entity	NaN			INRAE		France		
UNT10	plant_anatomical_entity	NaN			INRAE		France		
UNT11	plant_anatomical_entity	NaN			INRAE		France		
UNT12	plant_anatomical_entity	NaN			INRAE		France		
UNT13	plant_anatomical_entity	NaN			INRAE		France		
UNT14	plant_anatomical_entity	NaN			INRAE		France		
UNT15	plant_anatomical_entity	NaN			INRAE		France		
UNT16	plant_anatomical_entity	NaN			INRAE		France		
UNT17	plant_anatomical_entity	NaN			INRAE		France		
UNT18	plant_anatomical_entity	NaN			INRAE		France		
UNT19	plant_anatomical_entity	NaN			INRAE		France		
UNT20	plant_anatomical_entity	NaN			INRAE		France		
UNT21	plant_anatomical_entity	NaN			INRAE		France		
UNT22	plant_anatomical_entity	NaN			INRAE		France		
UNT23	plant_anatomical_entity	NaN			INRAE		France		
UNT24	plant_anatomical_entity	NaN			INRAE		France		
UNT25	plant_anatomical_entity	NaN			INRAE		France		
UNT26	plant_anatomical_entity	NaN			INRAE		France		
UNT27	plant_anatomical_entity	NaN			INRAE		France		
UNT28	plant_anatomical_entity	NaN			INRAE		France		
UNT29	plant_anatomical_entity	NaN			INRAE		France		
UNT30	plant_anatomical_entity	NaN			INRAE		France		
UNT31	plant_anatomical_entity	NaN			INRAE		France		
UNT32	plant_anatomical_entity	NaN			INRAE		France		
UNT33	plant_anatomical_entity	NaN			INRAE		France		
UNT34	plant_anatomical_entity	NaN			INRAE		France		
UNT35	plant_anatomical_entity	NaN			INRAE		France		
UNT37	plant_anatomical_entity	NaN			INRAE		France		
UNT38	plant_anatomical_entity	NaN			INRAE		France		
UNT39	plant_anatomical_entity	NaN			INRAE		France		
UNT40	plant_anatomical_entity	NaN			INRAE		France		
UNT42	plant_anatomical_entity	NaN			INRAE		France		
UNT43	plant_anatomical_entity	NaN			INRAE		France		
UNT44	plant_anatomical_entity	NaN			INRAE		France		
UNT45	plant_anatomical_entity	NaN			INRAE		France		
UNT46	plant_anatomical_entity	NaN			INRAE		France		
UNT47	plant_anatomical_entity	NaN			INRAE		France		
UNT50	plant_anatomical_entity	NaN			INRAE		France		
UNT52	plant_anatomical_entity	NaN			INRAE		France		
UNT53	plant_anatomical_entity	NaN			INRAE		France		
UNT54	plant_anatomical_entity	NaN			INRAE		France		
UNT55	plant_anatomical_entity	NaN			INRAE		France		
UNT56	plant_anatomical_entity	NaN			INRAE		France		
UNT57	plant_anatomical_entity	NaN			INRAE		France		
UNT58	plant_anatomical_entity	NaN			INRAE		France		
UNT59	plant_anatomical_entity	NaN			INRAE		France		
UNT1	antocyanin value n°1	0.319			INRAE		France		
UNT2	antocyanin value n°1	0.336			INRAE		France		
UNT3	antocyanin value n°1	0.404			INRAE		France		
UNT4	antocyanin value n°1	0.29			INRAE		France		
UNT5	antocyanin value n°1	0.355			INRAE		France		
UNT6	antocyanin value n°1	0.33			INRAE		France		
UNT7	antocyanin value n°1	0.343			INRAE		France		
UNT8	antocyanin value n°1	0.276			INRAE		France		
UNT9	antocyanin value n°1	0.316			INRAE		France		
UNT10	antocyanin value n°1	0.329			INRAE		France		
UNT11	antocyanin value n°1	0.322			INRAE		France		
UNT12	antocyanin value n°1	0.29			INRAE		France		
UNT13	antocyanin value n°1	0.348			INRAE		France		
UNT14	antocyanin value n°1	NaN			INRAE		France		
UNT15	antocyanin value n°1	0.304			INRAE		France		
UNT16	antocyanin value n°1	0.364			INRAE		France		
UNT17	antocyanin value n°1	0.302			INRAE		France		
UNT18	antocyanin value n°1	0.316			INRAE		France		
UNT19	antocyanin value n°1	0.314			INRAE		France		
UNT20	antocyanin value n°1	NaN			INRAE		France		
UNT21	antocyanin value n°1	0.307			INRAE		France		
UNT22	antocyanin value n°1	0.356			INRAE		France		
UNT23	antocyanin value n°1	NaN			INRAE		France		
UNT24	antocyanin value n°1	0.356			INRAE		France		
UNT25	antocyanin value n°1	0.29			INRAE		France		
UNT26	antocyanin value n°1	0.365			INRAE		France		
UNT27	antocyanin value n°1	0.348			INRAE		France		
UNT28	antocyanin value n°1	0.309			INRAE		France		
UNT29	antocyanin value n°1	0.379			INRAE		France		
UNT30	antocyanin value n°1	0.327			INRAE		France		
UNT31	antocyanin value n°1	0.471			INRAE		France		
UNT32	antocyanin value n°1	0.335			INRAE		France		
UNT33	antocyanin value n°1	0.317			INRAE		France		
UNT34	antocyanin value n°1	0.36			INRAE		France		
UNT35	antocyanin value n°1	0.268			INRAE		France		
UNT37	antocyanin value n°1	0.316			INRAE		France		
UNT38	antocyanin value n°1	0.386			INRAE		France		
UNT39	antocyanin value n°1	0.356			INRAE		France		
UNT40	antocyanin value n°1	0.398			INRAE		France		
UNT42	antocyanin value n°1	0.286			INRAE		France		
UNT43	antocyanin value n°1	0.409			INRAE		France		
UNT44	antocyanin value n°1	0.265			INRAE		France		
UNT45	antocyanin value n°1	0.413			INRAE		France		
UNT46	antocyanin value n°1	0.329			INRAE		France		
UNT47	antocyanin value n°1	0.268			INRAE		France		
UNT50	antocyanin value n°1	0.348			INRAE		France		
UNT52	antocyanin value n°1	0.28			INRAE		France		
UNT53	antocyanin value n°1	0.293			INRAE		France		
UNT54	antocyanin value n°1	0.431			INRAE		France		
UNT55	antocyanin value n°1	0.342			INRAE		France		
UNT56	antocyanin value n°1	0.295			INRAE		France		
UNT57	antocyanin value n°1	0.298			INRAE		France		
UNT58	antocyanin value n°1	0.314			INRAE		France		
UNT59	antocyanin value n°1	0.302			INRAE		France		
UNT1	antocyanin value n°2	0.353			INRAE		France		
UNT2	antocyanin value n°2	0.328			INRAE		France		
