subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT18	plant_anatomical_entity	seeds	seeds		UNIBO		Italy		Control
UNT21	plant_anatomical_entity	seeds	seeds		UNIBO		Italy		Control
UNT4	plant_anatomical_entity	seeds	seeds		UNIBO		Italy		Control
UNT46	plant_anatomical_entity	seeds	seeds		UNIBO		Italy		Control
UNT18	average - chlorophyll_a	0.106666666666667	seeds		UNIBO		Italy		Control
UNT21	average - chlorophyll_a	0.110588235294118	seeds		UNIBO		Italy		Control
UNT4	average - chlorophyll_a	0.08	seeds		UNIBO		Italy		Control
UNT46	average - chlorophyll_a	0.101764705882353	seeds		UNIBO		Italy		Control
UNT18	average - chlorophyll_b	0.066111111111111	seeds		UNIBO		Italy		Control
UNT21	average - chlorophyll_b	0.061764705882353	seeds		UNIBO		Italy		Control
UNT4	average - chlorophyll_b	0.045294117647059	seeds		UNIBO		Italy		Control
UNT46	average - chlorophyll_b	0.056470588235294	seeds		UNIBO		Italy		Control
UNT18	average - m13_amino acids	11.5083333333333	seeds		UNIBO		Italy		Control
UNT21	average - m13_amino acids	11.4894117647059	seeds		UNIBO		Italy		Control
UNT4	average - m13_amino acids	9.66294117647059	seeds		UNIBO		Italy		Control
UNT46	average - m13_amino acids	10.1047058823529	seeds		UNIBO		Italy		Control
UNT18	average - m09_citrate	2.66944444444444	seeds		UNIBO		Italy		Control
UNT21	average - m09_citrate	3.12823529411765	seeds		UNIBO		Italy		Control
UNT4	average - m09_citrate	2.56705882352941	seeds		UNIBO		Italy		Control
UNT46	average - m09_citrate	2.28058823529412	seeds		UNIBO		Italy		Control
UNT18	average - m04_fructose	4.00176470588235	seeds		UNIBO		Italy		Control
UNT21	average - m04_fructose	7.65533333333333	seeds		UNIBO		Italy		Control
UNT4	average - m04_fructose	6.095	seeds		UNIBO		Italy		Control
UNT46	average - m04_fructose	4.76625	seeds		UNIBO		Italy		Control
UNT18	average - m03_glucose	2.53944444444444	seeds		UNIBO		Italy		Control
UNT21	average - m03_glucose	4.60941176470588	seeds		UNIBO		Italy		Control
UNT4	average - m03_glucose	2.10666666666667	seeds		UNIBO		Italy		Control
UNT46	average - m03_glucose	3.82352941176471	seeds		UNIBO		Italy		Control
UNT18	average - m10_malate	3.285	seeds		UNIBO		Italy		Control
UNT21	average - m10_malate	2.79470588235294	seeds		UNIBO		Italy		Control
UNT4	average - m10_malate	2.88411764705882	seeds		UNIBO		Italy		Control
UNT46	average - m10_malate	2.37588235294118	seeds		UNIBO		Italy		Control
UNT18	average - m23_polyphenols	3.69333333333333	seeds		UNIBO		Italy		Control
UNT21	average - m23_polyphenols	4.15588235294118	seeds		UNIBO		Italy		Control
UNT4	average - m23_polyphenols	4.36588235294118	seeds		UNIBO		Italy		Control
UNT46	average - m23_polyphenols	4.00411764705882	seeds		UNIBO		Italy		Control
UNT18	average - m01_protein	44.3211111111111	seeds		UNIBO		Italy		Control
UNT21	average - m01_protein	40.8	seeds		UNIBO		Italy		Control
UNT4	average - m01_protein	61.56	seeds		UNIBO		Italy		Control
UNT46	average - m01_protein	45.79	seeds		UNIBO		Italy		Control
UNT18	average - m02_starch	111.435	seeds		UNIBO		Italy		Control
UNT21	average - m02_starch	130.191176470588	seeds		UNIBO		Italy		Control
UNT4	average - m02_starch	85.6470588235294	seeds		UNIBO		Italy		Control
UNT46	average - m02_starch	128.462941176471	seeds		UNIBO		Italy		Control
UNT18	average - m05_sucrose	39.81	seeds		UNIBO		Italy		Control
UNT21	average - m05_sucrose	68.2035294117647	seeds		UNIBO		Italy		Control
UNT4	average - m05_sucrose	59.0923529411765	seeds		UNIBO		Italy		Control
UNT46	average - m05_sucrose	44.2923529411765	seeds		UNIBO		Italy		Control
UNT18	plant_anatomical_entity	walls	walls		UNIBO		Italy		Control
UNT21	plant_anatomical_entity	walls	walls		UNIBO		Italy		Control
UNT4	plant_anatomical_entity	walls	walls		UNIBO		Italy		Control
UNT46	plant_anatomical_entity	walls	walls		UNIBO		Italy		Control
UNT18	average - chlorophyll_a	0.122071794624042	walls		UNIBO		Italy		Control
UNT21	average - chlorophyll_a	0.092377143782745	walls		UNIBO		Italy		Control
UNT4	average - chlorophyll_a	0.095365981079664	walls		UNIBO		Italy		Control
UNT46	average - chlorophyll_a	0.09881750177065	walls		UNIBO		Italy		Control
UNT18	average - chlorophyll_b	0.036485323107917	walls		UNIBO		Italy		Control
UNT21	average - chlorophyll_b	0.032149250380441	walls		UNIBO		Italy		Control
UNT4	average - chlorophyll_b	0.039298721571661	walls		UNIBO		Italy		Control
UNT46	average - chlorophyll_b	0.032767204793583	walls		UNIBO		Italy		Control
UNT18	average - m13_amino acids	8.75155555555556	walls		UNIBO		Italy		Control
