subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Silique	Silique		INRAE		France		Stressed
UNT4	e (mol m⁻² s⁻¹)	0.0005448235590497	Silique		INRAE		France		Stressed
UNT4	e (mol m⁻² s⁻¹)	0.0004707694735636	Silique		INRAE		France		Stressed
UNT4	e (mol m⁻² s⁻¹)	0.0003671499810768	Silique		INRAE		France		Stressed
UNT4	e (mol m⁻² s⁻¹)	0.0004651078306031	Silique		INRAE		France		Stressed
UNT18	e (mol m⁻² s⁻¹)	0.0004078032952768	Silique		INRAE		France		Stressed
UNT18	e (mol m⁻² s⁻¹)	0.0004313752718582	Silique		INRAE		France		Stressed
UNT18	e (mol m⁻² s⁻¹)	0.0004829658047867	Silique		INRAE		France		Stressed
UNT18	e (mol m⁻² s⁻¹)	0.0004606118656642	Silique		INRAE		France		Stressed
UNT21	e (mol m⁻² s⁻¹)	0.0003821731307151	Silique		INRAE		France		Stressed
UNT21	e (mol m⁻² s⁻¹)	0.0003329699696251	Silique		INRAE		France		Stressed
UNT21	e (mol m⁻² s⁻¹)	0.0005129043124473	Silique		INRAE		France		Stressed
UNT21	e (mol m⁻² s⁻¹)	0.0002499847586622	Silique		INRAE		France		Stressed
UNT46	e (mol m⁻² s⁻¹)	0.000409459811865	Silique		INRAE		France		Stressed
UNT46	e (mol m⁻² s⁻¹)	0.0002455314437287	Silique		INRAE		France		Stressed
UNT46	e (mol m⁻² s⁻¹)	0.0004210573633817	Silique		INRAE		France		Stressed
UNT46	e (mol m⁻² s⁻¹)	0.0004499230086839	Silique		INRAE		France		Stressed
UNT4	a (µmol m⁻² s⁻¹)	0.867411192348642	Silique		INRAE		France		Stressed
UNT4	a (µmol m⁻² s⁻¹)	0.992135142480306	Silique		INRAE		France		Stressed
UNT4	a (µmol m⁻² s⁻¹)	1.39719262744329	Silique		INRAE		France		Stressed
UNT4	a (µmol m⁻² s⁻¹)	1.04552345673142	Silique		INRAE		France		Stressed
UNT18	a (µmol m⁻² s⁻¹)	0.728603684911934	Silique		INRAE		France		Stressed
UNT18	a (µmol m⁻² s⁻¹)	0.943647049730321	Silique		INRAE		France		Stressed
