subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Seed	Seed		INRAE		France		Stressed
UNT4	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c16:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:0 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT21	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT46	c18:1 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:2 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:2 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:2 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT4	c18:2 (mol % )	NaN	Seed		INRAE		France		Stressed
UNT18	c18:2 (mol % )	NaN	Seed		INRAE		France		Stressed
