subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT4	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT18	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT21	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT46	plant_anatomical_entity	Leaf	Leaf		INRAE		France		Stressed
UNT4	chlorophyll (fluorescence units)	31.583	Leaf		INRAE		France		Stressed
UNT4	chlorophyll (fluorescence units)	28.4866	Leaf		INRAE		France		Stressed
UNT4	chlorophyll (fluorescence units)	30.4488	Leaf		INRAE		France		Stressed
UNT4	chlorophyll (fluorescence units)	28.602	Leaf		INRAE		France		Stressed
UNT18	chlorophyll (fluorescence units)	29.3109	Leaf		INRAE		France		Stressed
UNT18	chlorophyll (fluorescence units)	29.9615	Leaf		INRAE		France		Stressed
UNT18	chlorophyll (fluorescence units)	30.9014	Leaf		INRAE		France		Stressed
UNT18	chlorophyll (fluorescence units)	30.0958	Leaf		INRAE		France		Stressed
UNT21	chlorophyll (fluorescence units)	28.0202	Leaf		INRAE		France		Stressed
UNT21	chlorophyll (fluorescence units)	30.6732	Leaf		INRAE		France		Stressed
UNT21	chlorophyll (fluorescence units)	28.4392	Leaf		INRAE		France		Stressed
UNT21	chlorophyll (fluorescence units)	25.7085	Leaf		INRAE		France		Stressed
UNT46	chlorophyll (fluorescence units)	31.123	Leaf		INRAE		France		Stressed
UNT46	chlorophyll (fluorescence units)	28.2855	Leaf		INRAE		France		Stressed
UNT46	chlorophyll (fluorescence units)	30.53	Leaf		INRAE		France		Stressed
UNT46	chlorophyll (fluorescence units)	25.9398	Leaf		INRAE		France		Stressed
UNT4	flavonoid (fluorescence units)	1.1664	Leaf		INRAE		France		Stressed
UNT4	flavonoid (fluorescence units)	1.0859	Leaf		INRAE		France		Stressed
UNT4	flavonoid (fluorescence units)	1.0507	Leaf		INRAE		France		Stressed
UNT4	flavonoid (fluorescence units)	1.1546	Leaf		INRAE		France		Stressed
UNT18	flavonoid (fluorescence units)	1.0454	Leaf		INRAE		France		Stressed
UNT18	flavonoid (fluorescence units)	1.0131	Leaf		INRAE		France		Stressed
UNT18	flavonoid (fluorescence units)	0.9907	Leaf		INRAE		France		Stressed
UNT18	flavonoid (fluorescence units)	1.0691	Leaf		INRAE		France		Stressed
UNT21	flavonoid (fluorescence units)	1.2145	Leaf		INRAE		France		Stressed
UNT21	flavonoid (fluorescence units)	1.1199	Leaf		INRAE		France		Stressed
UNT21	flavonoid (fluorescence units)	1.1909	Leaf		INRAE		France		Stressed
UNT21	flavonoid (fluorescence units)	1.1925	Leaf		INRAE		France		Stressed
UNT46	flavonoid (fluorescence units)	0.99	Leaf		INRAE		France		Stressed
UNT46	flavonoid (fluorescence units)	1.0469	Leaf		INRAE		France		Stressed
UNT46	flavonoid (fluorescence units)	1.1115	Leaf		INRAE		France		Stressed
UNT46	flavonoid (fluorescence units)	1.2425	Leaf		INRAE		France		Stressed
UNT4	anthocyanin (fluorescence units)	0.1767	Leaf		INRAE		France		Stressed
UNT4	anthocyanin (fluorescence units)	0.1883	Leaf		INRAE		France		Stressed
UNT4	anthocyanin (fluorescence units)	0.1615	Leaf		INRAE		France		Stressed
UNT4	anthocyanin (fluorescence units)	0.1751	Leaf		INRAE		France		Stressed
UNT18	anthocyanin (fluorescence units)	0.1543	Leaf		INRAE		France		Stressed
UNT18	anthocyanin (fluorescence units)	0.1449	Leaf		INRAE		France		Stressed
UNT18	anthocyanin (fluorescence units)	0.1764	Leaf		INRAE		France		Stressed
UNT18	anthocyanin (fluorescence units)	0.1817	Leaf		INRAE		France		Stressed
UNT21	anthocyanin (fluorescence units)	0.1644	Leaf		INRAE		France		Stressed
UNT21	anthocyanin (fluorescence units)	0.1758	Leaf		INRAE		France		Stressed
UNT21	anthocyanin (fluorescence units)	0.1767	Leaf		INRAE		France		Stressed
UNT21	anthocyanin (fluorescence units)	0.1852	Leaf		INRAE		France		Stressed
UNT46	anthocyanin (fluorescence units)	0.1638	Leaf		INRAE		France		Stressed
UNT46	anthocyanin (fluorescence units)	0.163	Leaf		INRAE		France		Stressed
UNT46	anthocyanin (fluorescence units)	0.1835	Leaf		INRAE		France		Stressed
UNT46	anthocyanin (fluorescence units)	0.1917	Leaf		INRAE		France		Stressed
UNT4	nitrogen balanced index (nbi)	27.367	Leaf		INRAE		France		Stressed
UNT4	nitrogen balanced index (nbi)	27.29	Leaf		INRAE		France		Stressed
