subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT18	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT18	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT18	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT18	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT21	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT21	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT21	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT21	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT46	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT46	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT46	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT46	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT4	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT4	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT4	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT4	plant_anatomical_entity	NaN			CCE		Spain		Stressed
UNT18	emergence rate m2 value	300.0			CCE		Spain		Stressed
UNT18	emergence rate m2 value	250.0			CCE		Spain		Stressed
UNT18	emergence rate m2 value	375.0			CCE		Spain		Stressed
UNT18	emergence rate m2 value	285.416666666667			CCE		Spain		Stressed
UNT21	emergence rate m2 value	325.0			CCE		Spain		Stressed
UNT21	emergence rate m2 value	150.0			CCE		Spain		Stressed
UNT21	emergence rate m2 value	300.0			CCE		Spain		Stressed
UNT21	emergence rate m2 value	375.0			CCE		Spain		Stressed
UNT46	emergence rate m2 value	75.0			CCE		Spain		Stressed
UNT46	emergence rate m2 value	100.0			CCE		Spain		Stressed
UNT46	emergence rate m2 value	250.0			CCE		Spain		Stressed
UNT46	emergence rate m2 value	525.0			CCE		Spain		Stressed
UNT4	emergence rate m2 value	400.0			CCE		Spain		Stressed
UNT4	emergence rate m2 value	175.0			CCE		Spain		Stressed
UNT4	emergence rate m2 value	425.0			CCE		Spain		Stressed
UNT4	emergence rate m2 value	325.0			CCE		Spain		Stressed
UNT18	canopeo	0.93			CCE		Spain		Stressed
UNT18	canopeo	1.12			CCE		Spain		Stressed
UNT18	canopeo	0.57			CCE		Spain		Stressed
UNT18	canopeo	0.71			CCE		Spain		Stressed
UNT21	canopeo	0.96			CCE		Spain		Stressed
UNT21	canopeo	1.88			CCE		Spain		Stressed
UNT21	canopeo	0.43			CCE		Spain		Stressed
UNT21	canopeo	1.02			CCE		Spain		Stressed
UNT46	canopeo	0.16			CCE		Spain		Stressed
UNT46	canopeo	0.16			CCE		Spain		Stressed
UNT46	canopeo	0.39			CCE		Spain		Stressed
UNT46	canopeo	0.27			CCE		Spain		Stressed
UNT4	canopeo	1.03			CCE		Spain		Stressed
UNT4	canopeo	0.21			CCE		Spain		Stressed
UNT4	canopeo	1.32			CCE		Spain		Stressed
UNT4	canopeo	0.69			CCE		Spain		Stressed
UNT18	plant establishment	0.46			CCE		Spain		Stressed
UNT18	plant establishment	0.38			CCE		Spain		Stressed
UNT18	plant establishment	0.58			CCE		Spain		Stressed
UNT18	plant establishment	0.439166666666667			CCE		Spain		Stressed
UNT21	plant establishment	0.5			CCE		Spain		Stressed
UNT21	plant establishment	0.23			CCE		Spain		Stressed
UNT21	plant establishment	0.46			CCE		Spain		Stressed
UNT21	plant establishment	0.58			CCE		Spain		Stressed
UNT46	plant establishment	0.12			CCE		Spain		Stressed
UNT46	plant establishment	0.15			CCE		Spain		Stressed
UNT46	plant establishment	0.38			CCE		Spain		Stressed
UNT46	plant establishment	0.81			CCE		Spain		Stressed
UNT4	plant establishment	0.62			CCE		Spain		Stressed
UNT4	plant establishment	0.27			CCE		Spain		Stressed
UNT4	plant establishment	0.65			CCE		Spain		Stressed
UNT4	plant establishment	0.5			CCE		Spain		Stressed
UNT18	days to cotyledons	41.0			CCE		Spain		Stressed
UNT18	days to cotyledons	41.0			CCE		Spain		Stressed
UNT18	days to cotyledons	41.0			CCE		Spain		Stressed
UNT18	days to cotyledons	41.0			CCE		Spain		Stressed
UNT21	days to cotyledons	41.0			CCE		Spain		Stressed
UNT21	days to cotyledons	41.0			CCE		Spain		Stressed
UNT21	days to cotyledons	41.0			CCE		Spain		Stressed
UNT21	days to cotyledons	41.0			CCE		Spain		Stressed
UNT46	days to cotyledons	41.0			CCE		Spain		Stressed
UNT46	days to cotyledons	41.0			CCE		Spain		Stressed
UNT46	days to cotyledons	41.0			CCE		Spain		Stressed
UNT46	days to cotyledons	41.0			CCE		Spain		Stressed
UNT4	days to cotyledons	41.0			CCE		Spain		Stressed
UNT4	days to cotyledons	41.0			CCE		Spain		Stressed
UNT4	days to cotyledons	41.0			CCE		Spain		Stressed
UNT4	days to cotyledons	41.0			CCE		Spain		Stressed
UNT18	days to flowering	80.0			CCE		Spain		Stressed
UNT18	days to flowering	85.0			CCE		Spain		Stressed
UNT18	days to flowering	80.0			CCE		Spain		Stressed
UNT18	days to flowering	92.0			CCE		Spain		Stressed
UNT21	days to flowering	80.0			CCE		Spain		Stressed
UNT21	days to flowering	85.0			CCE		Spain		Stressed
UNT21	days to flowering	85.0			CCE		Spain		Stressed
