subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 258366	Mean OC (%)	36.1			Bayer Crop Science		green house in California Bay area		
PI 258367	Mean OC (%)	35.5			Bayer Crop Science		green house in California Bay area		
PI 304269	Mean OC (%)	26.4			Bayer Crop Science		green house in California Bay area		
PI 304270	Mean OC (%)	26.4			Bayer Crop Science		green house in California Bay area		
PI 304271	Mean OC (%)	35.6			Bayer Crop Science		green house in California Bay area		
PI 311735	Mean OC (%)	38.2			Bayer Crop Science		green house in California Bay area		
PI 311736	Mean OC (%)	38.3			Bayer Crop Science		green house in California Bay area		
PI 597833A	Mean OC (%)	37.5			Bayer Crop Science		green house in California Bay area		
PI 597833B	Mean OC (%)	36.9			Bayer Crop Science		green house in California Bay area		
PI 633192	Mean OC (%)	34.7			Bayer Crop Science		green house in California Bay area		
PI 633193	Mean OC (%)	33.4			Bayer Crop Science		green house in California Bay area		
PI 633194	Mean OC (%)	29.6			Bayer Crop Science		green house in California Bay area		
PI 650140	Mean OC (%)	30.6			Bayer Crop Science		green house in California Bay area		
PI 650141	Mean OC (%)	33.4			Bayer Crop Science		green house in California Bay area		
PI 650142A	Mean OC (%)	32.7			Bayer Crop Science		green house in California Bay area		
PI 650142B	Mean OC (%)	31.5			Bayer Crop Science		green house in California Bay area		
PI 650143	Mean OC (%)	23.9			Bayer Crop Science		green house in California Bay area		
PI 650144	Mean OC (%)	30.5			Bayer Crop Science		green house in California Bay area		
PI 650145	Mean OC (%)	34.6			Bayer Crop Science		green house in California Bay area		
PI 650146	Mean OC (%)	29.3			Bayer Crop Science		green house in California Bay area		
PI 650147	Mean OC (%)	30.1			Bayer Crop Science		green house in California Bay area		
PI 650148	Mean OC (%)	26.9			Bayer Crop Science		green house in California Bay area		
PI 650149	Mean OC (%)	29.2			Bayer Crop Science		green house in California Bay area		
PI 650150	Mean OC (%)	31.9			Bayer Crop Science		green house in California Bay area		
PI 650151	Mean OC (%)	29.8			Bayer Crop Science		green house in California Bay area		
PI 650152	Mean OC (%)	23.6			Bayer Crop Science		green house in California Bay area		
PI 650153	Mean OC (%)	37.4			Bayer Crop Science		green house in California Bay area		
