subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT18	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT21	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT46	plant_anatomical_entity	NaN			UNIBO		Italy		Stressed
UNT4	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1332.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT4	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT18	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT21	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT46	gdd tot	1174.1			UNIBO		Italy		Stressed
UNT4	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT4	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT4	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT4	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT18	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT18	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT18	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT18	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT21	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT21	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT21	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT21	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT46	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT46	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT46	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT46	gdd before flowering	756.5			UNIBO		Italy		Stressed
UNT4	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT4	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT4	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT18	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT18	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT18	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT21	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT21	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT21	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT46	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT46	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT46	gdd before flowering	548.6			UNIBO		Italy		Stressed
UNT4	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT4	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT4	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT4	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT18	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT18	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT18	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT18	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT21	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT21	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT21	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT21	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT46	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT46	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT46	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT46	gdd after flowering	575.6			UNIBO		Italy		Stressed
UNT4	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT4	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT4	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT18	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT18	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT18	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT21	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT21	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT21	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT46	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT46	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT46	gdd after flowering	625.5			UNIBO		Italy		Stressed
UNT4	gdd/day	13.9			UNIBO		Italy		Stressed
UNT4	gdd/day	13.9			UNIBO		Italy		Stressed
UNT4	gdd/day	13.9			UNIBO		Italy		Stressed
UNT4	gdd/day	13.9			UNIBO		Italy		Stressed
UNT18	gdd/day	13.9			UNIBO		Italy		Stressed
UNT18	gdd/day	13.9			UNIBO		Italy		Stressed
UNT18	gdd/day	13.9			UNIBO		Italy		Stressed
UNT18	gdd/day	13.9			UNIBO		Italy		Stressed
UNT21	gdd/day	13.9			UNIBO		Italy		Stressed
UNT21	gdd/day	13.9			UNIBO		Italy		Stressed
UNT21	gdd/day	13.9			UNIBO		Italy		Stressed
UNT21	gdd/day	13.9			UNIBO		Italy		Stressed
UNT46	gdd/day	13.9			UNIBO		Italy		Stressed
UNT46	gdd/day	13.9			UNIBO		Italy		Stressed
UNT46	gdd/day	13.9			UNIBO		Italy		Stressed
UNT46	gdd/day	13.9			UNIBO		Italy		Stressed
UNT4	gdd/day	13.0			UNIBO		Italy		Stressed
UNT4	gdd/day	13.0			UNIBO		Italy		Stressed
UNT4	gdd/day	13.0			UNIBO		Italy		Stressed
UNT18	gdd/day	13.0			UNIBO		Italy		Stressed
UNT18	gdd/day	13.0			UNIBO		Italy		Stressed
UNT18	gdd/day	13.0			UNIBO		Italy		Stressed
UNT21	gdd/day	13.0			UNIBO		Italy		Stressed
UNT21	gdd/day	13.0			UNIBO		Italy		Stressed
UNT21	gdd/day	13.0			UNIBO		Italy		Stressed
UNT46	gdd/day	13.0			UNIBO		Italy		Stressed
UNT46	gdd/day	13.0			UNIBO		Italy		Stressed
UNT46	gdd/day	13.0			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	11.5			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT4	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT18	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT21	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT46	gdd/day before flowering	9.8			UNIBO		Italy		Stressed
UNT4	gdd/day after flowering	19.2			UNIBO		Italy		Stressed
UNT4	gdd/day after flowering	19.2			UNIBO		Italy		Stressed
UNT4	gdd/day after flowering	19.2			UNIBO		Italy		Stressed
