subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 258366	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 258367	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 304269	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 304270	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 304271	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 311735	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 311736	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 597833A	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 597833B	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 633192	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 633193	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 633194	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650140	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650141	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650142A	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650142B	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650143	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650144	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650145	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650146	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650147	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650148	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650149	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650150	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650151	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650152	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650153	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650154	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650155	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650156	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650157A	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650157B	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650158A	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650158B	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650159	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650163	Radical Emerge (days)	1.2			Bayer Crop Science		green house in California Bay area		
PI 650164	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650167	Radical Emerge (days)	2.0			Bayer Crop Science		green house in California Bay area		
PI 650168	Radical Emerge (days)	1.0			Bayer Crop Science		green house in California Bay area		
