subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 258366	Mean seed weight (mg)	0.7576			Bayer Crop Science		green house in California Bay area		
PI 258367	Mean seed weight (mg)	0.8624			Bayer Crop Science		green house in California Bay area		
PI 304269	Mean seed weight (mg)	0.6608			Bayer Crop Science		green house in California Bay area		
PI 304270	Mean seed weight (mg)	0.4446			Bayer Crop Science		green house in California Bay area		
PI 304271	Mean seed weight (mg)	0.6799			Bayer Crop Science		green house in California Bay area		
PI 311735	Mean seed weight (mg)	1.0219			Bayer Crop Science		green house in California Bay area		
PI 311736	Mean seed weight (mg)	0.7931			Bayer Crop Science		green house in California Bay area		
PI 597833A	Mean seed weight (mg)	0.7468			Bayer Crop Science		green house in California Bay area		
PI 597833B	Mean seed weight (mg)	0.6486			Bayer Crop Science		green house in California Bay area		
PI 633192	Mean seed weight (mg)	0.6151			Bayer Crop Science		green house in California Bay area		
PI 633193	Mean seed weight (mg)	0.7759			Bayer Crop Science		green house in California Bay area		
PI 633194	Mean seed weight (mg)	0.6932			Bayer Crop Science		green house in California Bay area		
PI 650140	Mean seed weight (mg)	0.913			Bayer Crop Science		green house in California Bay area		
PI 650141	Mean seed weight (mg)	0.5651			Bayer Crop Science		green house in California Bay area		
PI 650142A	Mean seed weight (mg)	0.6981			Bayer Crop Science		green house in California Bay area		
PI 650142B	Mean seed weight (mg)	0.5487			Bayer Crop Science		green house in California Bay area		
PI 650143	Mean seed weight (mg)	0.1916			Bayer Crop Science		green house in California Bay area		
PI 650144	Mean seed weight (mg)	0.6113			Bayer Crop Science		green house in California Bay area		
PI 650145	Mean seed weight (mg)	0.6894			Bayer Crop Science		green house in California Bay area		
PI 650146	Mean seed weight (mg)	0.8062			Bayer Crop Science		green house in California Bay area		
PI 650147	Mean seed weight (mg)	0.7902			Bayer Crop Science		green house in California Bay area		
PI 650148	Mean seed weight (mg)	0.6605			Bayer Crop Science		green house in California Bay area		
PI 650149	Mean seed weight (mg)	0.5511			Bayer Crop Science		green house in California Bay area		
PI 650150	Mean seed weight (mg)	0.9297			Bayer Crop Science		green house in California Bay area		
PI 650151	Mean seed weight (mg)	0.7199			Bayer Crop Science		green house in California Bay area		
PI 650152	Mean seed weight (mg)	0.3366			Bayer Crop Science		green house in California Bay area		
PI 650153	Mean seed weight (mg)	1.0473			Bayer Crop Science		green house in California Bay area		
PI 650154	Mean seed weight (mg)	0.8587			Bayer Crop Science		green house in California Bay area		
PI 650155	Mean seed weight (mg)	0.9102			Bayer Crop Science		green house in California Bay area		
PI 650156	Mean seed weight (mg)	0.6941			Bayer Crop Science		green house in California Bay area		
PI 650157A	Mean seed weight (mg)	0.8465			Bayer Crop Science		green house in California Bay area		
PI 650157B	Mean seed weight (mg)	0.9095			Bayer Crop Science		green house in California Bay area		
PI 650158A	Mean seed weight (mg)	0.9518			Bayer Crop Science		green house in California Bay area		
PI 650158B	Mean seed weight (mg)	0.7851			Bayer Crop Science		green house in California Bay area		
PI 650159	Mean seed weight (mg)	1.0456			Bayer Crop Science		green house in California Bay area		
PI 650163	Mean seed weight (mg)	0.8302			Bayer Crop Science		green house in California Bay area		
PI 650164	Mean seed weight (mg)	0.5916			Bayer Crop Science		green house in California Bay area		
