subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT18	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT21	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT46	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
UNT4	plant_anatomical_entity	NaN			RRES		United Kingdom		Stressed
