subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
UNT18	plant_anatomical_entity	Leaf	Leaf		RRES		United Kingdom		Control
UNT18	h2o2 (nmol/g fresh weight)	167.11	Leaf		RRES		United Kingdom		Control
UNT18	total ascorbate (nmol/g fresh weight)	15798.85	Leaf		RRES		United Kingdom		Control
UNT18	total glutathione (nmol/g fresh weight)	789.45	Leaf		RRES		United Kingdom		Control
UNT18	ascorbate peroxidase (nkat/g fresh weight)	1.61	Leaf		RRES		United Kingdom		Control
UNT18	ascorbate peroxidase (nkat/mg protein)	0.18	Leaf		RRES		United Kingdom		Control
UNT18	glutathione reductase (nkat/g fresh weight)	6.9	Leaf		RRES		United Kingdom		Control
UNT18	glutathione reductase (nkat/mg protein)	0.76	Leaf		RRES		United Kingdom		Control
UNT18	catalase (nkat/g fresh weight)	4.9	Leaf		RRES		United Kingdom		Control
UNT18	catalase (nkat/mg protein)	0.54	Leaf		RRES		United Kingdom		Control
UNT18	peroxidase (nkat/g fresh weight)	0.01	Leaf		RRES		United Kingdom		Control
UNT18	peroxidase (nkat/mg protein)	0.001	Leaf		RRES		United Kingdom		Control
UNT18	superoxide dismutase (nkat/g fresh weight)	1203.65	Leaf		RRES		United Kingdom		Control
UNT18	superoxide dismutase (nkat/mg protein)	132.25	Leaf		RRES		United Kingdom		Control
UNT18	plant_anatomical_entity	Leaf	Leaf		RRES		United Kingdom		Heat
UNT18	plant_anatomical_entity	Leaf	Leaf		RRES		United Kingdom		Heat
UNT18	h2o2 (nmol/g fresh weight)	148.93	Leaf		RRES		United Kingdom		Heat
UNT18	h2o2 (nmol/g fresh weight)	163.44	Leaf		RRES		United Kingdom		Heat
UNT18	total ascorbate (nmol/g fresh weight)	17427.64	Leaf		RRES		United Kingdom		Heat
UNT18	total ascorbate (nmol/g fresh weight)	18848.0	Leaf		RRES		United Kingdom		Heat
